Portuguese,Type,English,
o,at,the,
de,prp,from,
em,prp,"in, on",
em,cj,and,
que,cj,"what, that, than",
ser,v,to be,
um,at,"a, one",
por,prp,"by, through, for",
para,prp,"to, for, in order to",
a,prp,"to, at",
não,av,"no, not",
com ,prp,with,
ter,v,to have,
se,pn,"yourself, themself, themselves",
o,pn,"it, him, her, them, you",
seu,aj,"yours, theirs, his, hers",
como,cj/av,"how, like",
estar,v,to be,
mais,aj/av,"more, most",
mas,cj,but,
fazer,v,"to make, to do",
poder,v,to be able to,
este,aj,this,
ou,cj,"or, either",
ele,pn,"he, it",
esse,aj,that,
outro,aj,"other, another",
muito,aj/av,"very, much, many",
haver,v,to have,
ir,v,to go,
todo,aj,"all, every",
eu,pn,I,
já,av,"already, now",
dizer,v,to tell,
ano,nm,year,
dar,v,to give,
também,av,also,
quando,cj/av,when,
mesmo,aj,same,
ver,v,to see,
até,prp,"until, even",
dois,num,two,
ainda,av,"still, yet",
isso,pn,that,
grande,aj,"big, grand",
vez,nf,"time, turn",
algum,aj,some,
ela,pn,"she, it",
depois,av,after,
entre,prp,"between, among",
dia,nm,day,
só,av,"only, just",
aquele,aj,that,
sobre,prp,"about, over",
primeiro,aj/av,first,
ficar,v,"to stay, to become",
dever,v,to owe,
passar,v,"to go through, to spend time",
saber,v,to know,
assim,av,like this,
querer,v,to want,
onde,av,where,
novo,aj,new,
sem ,prp,without,
vir,v,to come,
tempo,nm,"time, weather",
bem,av,"well, very",
porque,cj,because,
meu,aj,"my, mine",
pessoa,nf,person,
coisa,nf,thing,
então,av,"then, so",
quem,pn,whom,
sempre,av,always,
qual,aj,which,
chegar,v,to arrive,
vida,nf,life,
pouco,aj/av,a little,
homem,nm,man,
parte,nf,part,
tudo,pn,"everything, all",
casa,nf,"house, home",
agora,av,now,
lhe,pn,"to you, to him, to her",
trabalho,nm,work,
nosso,aj,our,
levar,v,to carry,
pois,cj,"for, because",
deixar,v,"to leave, allow",
bom,aj,good,
começar,v,"to begin, start",
próprio,aj,very own,
maior,aj,"greater, larger",
caso,nm,case,
falar,v,to speark,
país,nm,country,
forma,nf,"form, way",
cada,aj,"each, every",
hoje,n/av,today,
nem,cj,"neither, not, nor",
três,num,three,
se,cj,if,
encontrar,v,"to find, to meet",
meio,n/aj/av,"way, half, middle",
aqui,av,here,
